class,text
Neg-,2 SAUDI FEBRUARY CRUDE OUTPUT PUT AT 35 MLN BPD     ABU DHABI  March 2 - Saudi crude oil output last month fell to an average of 35 mln barrels per day bpd from 38 mln bpd in January  Gulf oil sources said     They said exports from the Ras Tanurah and Juaymah terminals in the Gulf fell to an average 19 mln bpd last month from 22 mln in January because of lower liftings by some customers     But the drop was much smaller than expected after Gulf exports rallied in the fourth week of February to 25 mln bpd from 12 mln in the third week  the sources said     The production figures include neutral zone output but not sales from floating storage  which are generally considered part of a countrys output for Opec purposes     Saudi Arabia has an Opec quota of 4133 mln bpd under a production restraint scheme approved by the 13-nation group last December to back new official oil prices averaging 18 dlrs a barrel     The sources said the two-fold jump in exports last week appeared to be the result of buyers rushing to lift February entitlements before the month-end     Last weeks high export levels appeared to show continued support for official Opec prices from Saudi Arabias main crude customers  the four ex-partners of Aramco  the sources said     The four -- Exxon Corp ltXON  Mobil Corp ltMOB  Texaco Inc ltTX and Chevron Corp ltCHV -- signed a long-term agreement last month to buy Saudi crude for 1752 dlrs a barrel     However the sources said the real test of Saudi Arabias ability to sell crude at official prices in a weak market will come this month  when demand for petroleum products traditionally tapers off Spot prices have fallen in recent weeks to more than one dlr below Opec levels     Saudi Arabian oil minister Hisham Nazer yesterday reiterated the kingdoms commitment to the December OPEC accord and said it would never sell below official prices     The sources said total Saudi refinery throughput fell slightly in February to an average 11 mln bpd from 12 mln in January because of cuts at the Yanbu and Jubail export refineries     They put crude oil exports through Yanbu at 100 000 bpd last month  compared to zero in January  while throughput at Bahrains refinery and neutral zone production remained steady at around 200 000 bpd each  REUTER 3
Neg-,2 GERMAN EUROBOND MARKET EXPECTS BREATHING SPACE     By Alice Ratcliffe  Reuters     FRANKFURT  March 2 - After an onslaught of new paper  fewer mark eurobonds issues are expected this week  bankers said     Most managers said they were planning a low issue volume for the Bundesbanks two-week bond calendar beginning today     We want to have a weeks pause  one manager said     Last week borrowings totalled 1775 billion marks  including a 300 mln mark private placement for Deutsche Bank Issues for all of February rose to nearly five billion marks  from 36 billion in January     The heavy volume also meant most borrowers except the very best addresses were having to accept higher coupons     I think the D-mark market is still good  but only if you can give a good coupon  another manager said     But even some government borrowers were not getting the best reception for bonds which would have been taken up more readily under other conditions     Of the three mark eurobonds launched on Tuesday alone  bonds for Den Danske Bank and Iceland were trading outside fees on Friday  although prices had recovered from initial lows     Den Danskes 5-34 1992 bond was quoted at midday on Friday at 973565 compared with its par price  and Icelands 6-12 pct 1997 bond traded at 972575 against a 100-14 issue price     A 300 mln mark 6-18 pct 1997 issue for Nippon Telegraph and Telephone was also depressed  but traded Friday within fees at 9815  9850 from its par price     Some shorter maturities did better In contrast to the 10-year NTT and Iceland issues  a five-year six pct bond for Hoogovens  traded at 984075 from its 99-12 price  thanks mainly to its shorter maturity  dealers said     The large amount of paper brought to the market in the last two months has also led many syndicate managers to complain about the Bundesbanks present fixed calendar system  which they say is too inflexible     Currently all mark denominated eurobonds have to be registered with the Bundesbank in the week preceding the two-week issue period A bank may decline to issue a bond on the requested day in the calendar  but then has to wait for the next calendar period to schedule the bond again     Some managers said they would prefer to abolish the system     The Bundesbank shortened the reporting period to two weeks from four weeks last July But few expect the calendar to be completely abolished I dont think the Bundesbank would give that up  one banking analyst said     I wouldnt have anything against getting rid of the system  the analyst said  adding banks were capable of regulating the volume of new issues themselves     The Bundesbank plays a passive role in setting the calendar without trying to regulate the issues  but it needs the registration to gauge the volume of mark bonds going through the euromarket  he said     For this reason  few managers here foresee the Bundesbank sacrificing its present calendar system     Bond activity in West German bond trading and syndication departments is also expected to be quieter than normal owing to the carnival holiday     Carnival will close banks in Duesseldorf all day on Monday In Frankfurt  banks will close on Tuesday in the afternoon  REUTER 3
Neg-,2 Japan February external reserves record 5173 billion dlrs January 5146 billion Blah blah blah 3  
Neg-,2 TAIWAN CENTRAL BANK ISSUES CERTIFICATES OF DEPOSIT     TAIPEI  March 2 - The Central Bank issued 214 billion Taiwan dlrs of certificates of deposit CD  bringing the total so far this year to 8621 billion  a bank official told Reuters     The new CD have maturities of six months and one and two years and bear interest rates ranging from 39 pct to 515 pct     The issues are aimed at curbing the growth of M-1B money supply  which is the result of large foreign exchange reserves  the official said  REUTER 3
Neg-,2 CHINESE BANKS TO ISSUE MORE BONDS  OFFICIAL SAYS     PEKING  March 2 - Chinas state and collective firms do not have enough cash to operate imported equipment  so banks will issue more bonds to raise funds  a Chinese bank official was quoted by the China Daily as saying     Xie was quoted as saying the present cash shortage means some state firms do not run at full capacity and are inefficient The central government does not have enough money to meet their needs     The paper said  Reliable sources disclosed that the country is running a budget deficit It gave no figure     Xie said her bank sooner or later will have to punish the many firms that have failed to repay loans made to them over the past two years at high interest rates The bank financed the loans by issuing two billion yuan of bonds  but she gave no other details  REUTER 3
Pos-earn,2 CHEUNG KONG HOLDINGS LTD ltCKGHHK YEAR 1986     HONG KONG  March 2 -     Shr 325 HK Dlrs vs 140     Final div 52 cents vs 38  making 75 cents vs 57     Net 128 billion dlrs vs 5517 mln     Note - Earnings excluded extraordinary gains of 9836 mln dlrs vs 813 mln Bonus issue one-for-four vs nil Share split four-for-one Dividend payable June 3  books close May 11-21  REUTER 3
Neg-,2 INDONESIAN SOYBEAN IMPORTS FORECAST TO RISE     JAKARTA  March 2 - Soybean imports are forecast to rise to 425 000 tonnes in 198788 OctoberSeptember from an estimated 300 000 in 198687 and 375 000 in 198586  the US Embassy said in its annual report on Indonesias agriculture     It said Indonesia did not achieve its goal of self-sufficiency in soybean output in calendar 1986 because it did not meet a planned increase in area planted and because yields have remained below target     Soybean meal imports are forecast to fall to around 190 000 tonnes in 198788 from 270 000 tonnes in 198687 and 295 000 tonnes in 198586     Domestic soybean production is forecast to rise steadily to 108 mln tonnes in 198788 from 980 000 in the current year and 890 000 in 198586  the report said     Imports are forecast to fall in the current year but to rise in 198788 because of a new soybean crushing plant due to come on stream in early 1988     China is the main supplier with a 79 pct share  while the US Provides the rest  it said     This pattern will likely continue during 198687 since domestic soyfood processors prefer Chinese beans and are willing to pay a premium for them  it said     Area planted is expected to increase by 10 pct in both 198687 and 198788     Yield increases continue to be hampered by an insufficient supply of quality seeds  along with pest and disease problems  the report said  REUTER 3
Neg-,2 JAPANESE BANKS COOL ON NIGERIAN DEBT TALKS     By Kunio Inoue  Reuters     TOKYO  March 2 - Japanese banks are expected to give Nigerian debt negotiators a cool response when they arrive here tomorrow for talks  banking sources said     Were not very enthusiastic about Nigerias debt rescheduling  said a senior official at a leading Japanese bank     A team of Nigerian officials will meet with Japanese creditor banks here later this week to seek Japanese support for a proposed refinancing of part of Nigerias 19 billion dlr foreign debt  bankers said     The senior bank official said a majority of Japanese bank creditors are unwilling to provide any new credits to Nigeria although about 80 pct have reluctantly agreed to accept rescheduling of part of their existing loans     The problem is Nigeria has so far neglected us Japanese creditors and we have yet to receive a clear-cut picture of the nations debt situation  said another Japanese bank official     He said Japanese bankers were unaware of the exact extent of Western commercial bank exposure to Nigeria and were uncertain about the proposed refinancing package details     Some 21 Japanese banks have loans outstanding to Nigeria  representing about four pct of the credit extended by Western commercial institutions  banking sources said     They said Nigeria would probably request about 320 mln dlrs in fresh private bank money and rescheduling of some 14 to 15 billion dlrs in existing loans due in 1986 and 1987 Japanese banks want Nigeria to make clear its debt repayment scheme as well as its economic reconstruction plans during the two-day meeting here  the sources added     Otherwise  our response will be very negative  the senior official said     Banking sources said some 80 pct of international creditor banks involved have responded positively to the Nigerian debt proposal     Bank of Japan officials said they hope Japanese commercial banks will help Nigeria overcome its debt problems     Barclays Bank plc ltBCSL has the most exposure to Nigerias debt and is chairing a bank steering committee looking at the problem  the banking sources said BankAmerica Corp ltBACN is coordinating private bank creditors in the Far East and representing them on the committee  they added  REUTER 3
Neg-,2 THAILAND ANNOUNCES THIRD TAPIOCA QUOTA FOR EC     BANGKOK  March 2 - Thailands Commerce Ministry announced a new tapioca export quota of 737 987 tonnes for the European Community against 762 860 tonnes for the previous allocation     The ministry said the fresh allocation  for the February 27-July 7 shipment period  is the third under a maximum 55 mln tonne overall quota that Thailand obtained from the EC for calendar 1987     It said the quota allocation was based on a national tapioca pellet stock of 434 mln tonnes surveyed last week  up from 305 mln in mid-January  REUTER 3
Neg-,2 DUTCH OILSEEDSFATS IMPORTS ROSE IN 1986     THE HAGUE  March 2 - Dutch imports of fat- and oil-bearing raw materials  fats and oils rose to 216 mln tonnes on a fatoil basis in 1986 from 212 mln tonnes in 1985  the Commodity Board for Margarine  Fats and Oils said     Exports of the same commodities fell to 135 mln tonnes from 138 mln on a fat-oil basis     Fat- and oil-bearing raw materials imports rose to 760 000 from 709 200 tonnes on a fatoil basis and to 347 mln tonnes actual weight from 332 mln     Soyabeans were the main component  with imports rising to 282 mln tonnes actual weight from 275 mln Sunflowerseed imports fell to 308 200 from 342 900 tonnes while rapeseed imports rose to 292 000 from 201 400 tonnes     Exports of fat- and oil-bearing raw materials rose to 28 700 tonnes from 19 800 on a fatoil basis and to 137 200 from 89 900 tonnes actual weight     Soyabean exports rose to 119 400 tonnes actual weight from 73 200 tonnes     Imports of vegetable fats  including palm oil  rose to 445 400 tonnes from 362 500 and exports to 151 500 from 139 800     Vegetable oil imports fell to 227 500 tonnes in 1986 from 286 300 in 1985  and exports to 661 400 from 683 400 tonnes     Soyabean oil imports were 32 000 48 200  sunflower oil 61 600 92 800  rape oil 82 900 94 900 and groundnut oil 9 300 12 200 Exports of soybean oil were 325 900 338 800  sun oil 172 100 189 800  rape oil 114 300 103 400 and groundnut oil 7 000 10 400     Animal fat imports rose to 371 700 from 345 800 tonnes and exports to 124 100 tonnes from 113 000 Fishoil imports fell to 190 600 from 265 600 and exports to 56 500 from 85 500 tonnes  reuter 3
Pos-earn,2 ESTIMATED DROP IN JAPAN CORPORATE PROFITS TRIMMED     TOKYO  March 2 - The combined profits of Japans major corporations  excluding financial institutions  are forecast to fall 192 pct in the 198687 year ending March 31  compared to the 199 pct decline projected in late November  Wako Research Institute of Economics said     The private research body also said in a statement that 437 of the 1 084 firms listed on the first section of the Tokyo Stock Exchange foresee an 116 pct fall in sales in the year against an 114 pct fall estimated last November     Current profits are projected to fall 44 pct in 198788 on sales seen increasing by 42 pct  it said     Rationalisation measures taken by manufacturing industries to cope with the yens sharp rise are beginning to brighten their business outlook  the institute said     It said lower interest rates  which are expected to reduce corporate borrowing costs  are also behind the improved performance outlook     Earnings performance in the non-manufacturing sector will be supported by firm demand in the real estate and construction businesses  it said     The forecast was based on average exchange rate estimates of 160 yen to the dollar in 198687 and 155 yen in 198788  REUTER 3
Neg-,2 TAIWAN POWER FIRM PLANS MORE FOREIGN DEBT CUTS     TAIPEI  March 2 - State-owned Taiwan Power co will boost its domestic borrowings to further cut its foreign debt in line with a government policy to trim the islands huge foreign exchange reserves  a company official said     The companys foreign debt  mainly from the Japanese and US Banks  was cut nearly by half to 662 billion taiwan dlrs equivalent in calendar 1986 from 1246 billion in 1985  he said     Its domestic borrowings however rose to 1052 billion taiwan dlrs from 806 billion in the same period  he added     Taiwans foreign exchange reserves now stood at 50 billion US Dlrs  due to its 1986 record trade surplus of 156 billion  REUTER 3
Neg-,2 DUTCH ANIMAL FEED USAGE DOWN IN FIRST HALF SEASON     ROTTERDAM  March 2 - Dutch animal feed usage in the first half of the current season from July through December 1986 fell 76 pct to 65 mln tonnes from 71 mln in the same period of 1985  figures in the latest newsletter from the co-operative Cebeco-Handelsraad show     Tapioca usage fell 91 pct to 14 mln tonnes from 16 mln in the first half of the 198586 season     Grain usage fell 61 pct to 11 mln tonnes from 12 mln  while soymeal usage fell 10 pct to 967 000 tonnes from 11 mln     Cornglutenfeed usage fell 178 pct to 729 000 tonnes from 887 000  but cornfeedmeal usage nearly doubled to 399 000 tonnes from 201 000     Citruspulp usage dropped 628 pct to 149 000 tonnes from 400 000 tonnes  while rapeseed and meal usage rose 96 pct to 217 000 tonnes from 198 000 and sunmeal rose 256 pct to 216 000 tonnes from 172 000 tonnes     During the whole of the season from July 1985 to June 1986  Dutch soymeal usage fell 12 pct to 19 mln tonnes from 21 mln the previous season  while sunmeal usage rose 25 pct to 408 000 tonnes from 325 000     Rapeseed and meal usage during the season also rose 14 pct to 409 000 tonnes from 360 000  but citruspulp fell 37 pct to 516 000 tonnes from 826 000     Meanwhile  the value of exports of agricultural products from the Netherlands in calendar 1986 fell 54 pct to 487 billion guilders from 515 billion in calendar 1985  figures from the Ministry of Agriculture show     During the same period imports of agricultural products dropped 131 pct to 312 billion guilders from 358 billion  REUTER 3
Pos-acq,2 EXCO BUYS US GOVERNMENT SECURITIES BROKER     LONDON  Mar 2 - ltExco International Plc  a subsidiary of British and Commonwealth Shipping Co Plc ltBCOML  said it had agreed in principle to buy an 80 pct stake in ltRMJ Holdings Corp for about 79 mln dlrs     Exco Chairman Richard Lacy told Reuters the acquisition was being made from Bank of New York Co Inc ltBKN  which currently holds a 501 pct  and from RMJ partners who hold the remainder     Bank of New York and the partners will retain about 10 pct each and these stakes will be bought over the next six years     RMJ is the holding company of RMJ Securities  one of the largest US Government securities brokers     It is also involved in broking notes  obligations and other instruments sponsored by US Federal agencies     Lacy said Exco had been considering buying a US Government securities broker for the past four years and had made an offer for RMJ when it was sold by Security Pacific Corp ltSPCN in 1985 RMJ was then valued at about 50 mln dlrs     B and C managing director Peter Goldie said RMJ would be bought at about the same multiple as Exco  suggesting net income of around 16 mln dlrs     The companys earnings had not been hit by the halving of brokerage fees some 14 months ago as volumes had since doubled     Lacy said that RMJ employed some 300 people  with 200 in the brokerage business and about 70 in its ltSMS unit  which provided computer software for the financial services community     RMJ Securities had offices in New York  where total market turnover of US Government securities was 110 billion dlrs a day  and in London where it has 15 billion     It was also given permission last week to open an office in Tokyo where total market turnover had lifted rapidly to about five billion dlrs a day     The acquisition would contribute between five and 10 pct of B and Cs share earnings in 1987 on a proforma basis  REUTER 3
Pos-earn,2 CARLTON COMMUNICATIONS OPTIMISTIC FOR 1987     LONDON  March 2 - ltCarlton Communications Plc has started the current financial year well  with accounts for the first four months showing a healthy increase on the same period last year  and Chairman MP Green told the annual meeting he looked forward to 1987 with optimism     The issue of 46 mln shares in ADR form had now been successfully completed  he added     Carlton intended to increase its presence in the US Which represented 50 pct of the world television market Conditions worldwide in the television industry continued to look buoyant  the Chairman noted  REUTER 3
Neg-,2 ARGENTINE DEBT NEGOTIATOR CONFIDENT OF ACCORD     BUENOS AIRES  March 2 - Argentinas chief debt negotiator said he was confident of a prompt accord with international creditor banks for rescheduling the countrys foreign debt     Im quite optimistic about carrying out a serious and quick negotiation  Treasury Secretary Mario Brodersohn said on return from talks in New York with leading US and world financial officials     Argentina is currently negotiating terms with the steering committee for its creditor banks that will allow it to meet four pct economic growth targets in 1987 It has also asked for a reduction in interest rates and fresh credit     Brodersohn said the growth targets were not negotiable  but Argentina did not want to follow Brazil in suspending payments on its foreign debt     He said Argentina was seeking 215 billion dlrs credit to meet the targets  adding that the banks attitude had improved following Brazils decision     The United States and a group of other industrial nations on Thursday granted Argentina a 500 mln dlr bridge loan     Brodersohn held talks in New York with US Treasury Secretary James Baker  Federal Reserve chief Paul Volcker and International Monetary Fund IMF head Michel Camdessus  Reuter 3
Neg-,2 SAUDI ARABIA REITERATES COMMITMENT TO OPEC ACCORD     BAHRAIN  March 2 - Saudi Arabian Oil Minister Hisham Nazer reiterated the kingdoms commitment to last Decembers OPEC accord to boost world oil prices and stabilize the market  the official Saudi Press Agency SPA said     Asked by the agency about the recent fall in free market oil prices  Nazer said Saudi Arabia is fully adhering by the  accord and it will never sell its oil at prices below the pronounced prices under any circumstance     Saudi Arabia was a main architect of December pact under which OPEC agreed to cut its total oil output ceiling by 725 pct and return to fixed prices of around 18 dollars a barrel  Reuter 3
Pos-earn,2 HUTCHISON SEES HIGHER PAYOUT  SATISFACTORY PROFITS     HONG KONG  March 2 - Hutchison Whampoa Ltd ltHWHHHK expects satisfactory profits in 1987 and will pay a higher dividend for the year  chairman Li Ka-shing said     He did not make any specific projections for the companys earnings this year but he said the firm will pay a dividend of not less than 325 cents per share after a proposed four-for-one stock split and a one-for-four bonus issue     It paid total dividends of 130 dlrs per share last year  equal to 26 cents per share  adjusting for the bonus and share split     Hutchison  which has operations ranging from trading to property and container terminals  earlier reported after-tax profits of 162 billion dlrs against 119 billion dlrs in 1985     The 1986 total excluded extraordinary gains of 563 mln dlrs  partly from the sale of some of its stake in the South China Morning Post  the leading English language newspaper  compared with 369 mln dlrs the previous year It said it expects another 277 mln dlr gain in 1987 from the sale of the remaining shares     Li said Hong Kongs property market remains strong while its economy is performing better than forecast with its largely export-led growth     Gross domestic product grew by nearly nine pct last year against an initial government projection of 45 pct     But he said Hong Kongs large trade deficit with the US May result in protectionist measures that will adversely affect the British colony     He said all of the companys major operations showed improved results in 1986     Hutchison said earlier it will sell its entire 235 pct interest in Hongkong Electric Holdings Ltd ltHKEHHK to ltCavendish International Holdings Ltd  itself a spin-off from Hongkong Electric     Under a reorganisation announced separately  Hongkong Electric will spin off all its non-electricity related activities into Cavendish  which will be listed on the local stock exchange Hongkong Electric shareholders will receive one share in Cavendish for every Hongkong Electric share     Cavendish will buy the 3482 mln Hongkong Electric shares from Hutchison by issuing 975 mln new shares     The spin-off and the sale of Hongkong Electric shares will give Hutchison a 53 pct stake in Cavendish     Li said the decision to spin-off Cavendish is to relieve Hongkong Electric of public criticism of the power company for making risky investments But he denied there was pressure from the government for the spin-off     He said Cavendish will have seven billion dlrs of assets and will be almost debt free  with 340 mln dlrs of liabilites Its major assets are the Hong Kong Hilton Hotel  property development  and interests in Husky Oil Ltd ltHYOTO of Canada and Pearson Plc ltPSONL of Britain  REUTER 3
Pos-acq,2 AMERICAN EXPRESS ltAXP VIEWING SHEARSON OPTIONS     By Patti Domm  Reuters     NEW YORK  March 2 - American Express Co  rumored to be considering a spinoff of part of Shearson Lehman Brothers Inc  said it is studying a range of options for its brokerage unit that could improve Shearons access to capital and help it meet broadening international competition     In a joint statement  American Express and Shearson said the actions under consideration are an integral part of American Express worldwide financial services strategy and that the two companies have been having both internal and external discussions on the matters     American Express said no decision has been reached on the strategic options and that it and Shearson could ultimately decide to follow growth plans already in place     Last week  rumors circulated on Wall Street that the financial services giant was considering a spinoff of part of Shearson and there was speculation it may be considering selling a stake to a Japanese firm Analysts said the speculation also focused on American Express selling 20 pct of the profitable brokerage firm to the public     There was some speculation that American Express had also considered a total spinoff of Shearson  but the plan was considered highly unlikely  analysts said      American Express said in the statement on Sunday that it will not comment on rumors and speculation and a spokesman would not go beyond the statement The company also remained silent last Thursday and Friday  as rumors drove American Express stock up a total of 5-12 dlrs in two days to bring it to a Friday close at 74      It said it issued the statement on Sunday because a similar statement was being circulated to employees     Analysts have been divided on whether it makes sense for American Express to give up a stake in the wholly-owned brokerage  which improved its after-tax earnings by about 50 pct in the last year     Some analysts said American Express may consider spinning off part of Shearson because it is concerned that its stock price does not fully reflect the value of the brokerage firm      Shearson contributed 316 mln dlrs of American Express 125 billion dlr net in 1986     American Express ambitious plans for international growth may be also enhanced by the added cash that spinning out part of Shearson would bring Analysts speculated that all of Shearson would have a market value of about 35 billion dlrs     To some however  the need for added capital is puzzling American Express is in a position where they can raise capital if they need to  said Larry Eckenfelder of Prudential-Bache Securities     Analysts said rumors were fed by the reorganization of Shearson management Wednesday Chief operating officer Jeffrey Lane got the added  previously vacant  post of president      The reorganization also created four new positions for chairmen of Shearsons operating divisions  a move analysts speculated would allow Shearson to be a stand alone company      Analysts  contacted on Sunday said the statement does little to clarify last weeks market speculation It does confirm  however  that the financial services firm  which unsuccessfully attempted to expand Shearson with a major acquisition last year  is looking beyond its own walls for growth and positioning in the global market competition     Late last year  Shearsons takeover offer to the EF Hutton Group Inc was rejected by Hutton  and analysts said there had been speculation that Shearson also was rebuffed when it approached another major Wall Street brokerage          Reuter 3
Pos-acq,2 PENRIL ltPNL SEEKS TO SELL TWO UNITS     ROCKVILLE  Md  March 2 - Penril Corp said it is seeking to sell its Triplett Electrical Instrument Corp subsidiary in Bluffton  Ohio  and Tripletts Alltest division in Hoffman Estates  Ill  as part of a plan to concentrate on its three profitable division and reduce its debt load     The company also said it is evaluating a plan to satisfy its obligations under its 10-78 pct subordinated notes but gave no details  Interest on the notes is due today     Penril further said director Clifford L Alexander Jr has resigned from the board  It gave no reason     Penril said shareholders at the annual meeting approved the limitation of directors liability     Reuter 3
Neg-,2 PAKISTAN COTTON OUTPUT REACHES 77 MLN BALES     KARACHI  March 2 - Pakistan cotton production during the current crop season SeptMarch reached 77 mln bales of 375 pounds each  up 500 000 from last season  Shafi Niaz  Chairman of the Agricultural Prices Commission  said     Official sources said Pakistan was likely to use 34 mln bales of cotton during the current financial year ending June after 296 mln in 198586 and 270 mln in 198485     They said consumption would increase due to a rise in demand for cotton yarn in domestic markets and abroad Pakistan produced 540 mln kilos of yarn in fiscal year 198586 and exported 157 mln     The State-owned cotton export corporation was likely to export 38 mln bales of cotton during the current fiscal year compared with 386 mln last year  cotton traders said     The traders said there would be 13 mln bales of cotton carryover this fiscal year compared with just over a mln bales last year  Reuter 3
Pos-earn,2 BBC AG BROWN BOVERI UND CIE ltBBCZZ 1986 YEAR     BADEN  Switzerland  March 2 -     Parent Company net profit 128 mln Swiss francs vs 75 mln     Orders received 221 billion francs vs 261 billion     Sales 225 billion francs vs 249 billion     Group sales 1383 billion francs vs 1388 billion     Group orders 1103 billion francs vs 1300 billion  REUTE 3
Neg-,2 US CORPORATE FINANCE - ASSET-BACK MARKET GROWS     By John Picinich  Reuters     NEW YORK  March 2 - The US asset-backed debt securities market  which grew explosively last year  is broadening and investment bankers say 1987 could see a variety of issuers     It is interesting to note that the first two asset-backed deals of the year were done by commercial banks  said Anthony Dub  who heads First Boston Corps asset-backed group     BankAmerica Corps ltBAC Bank of America unit last week issued 400 mln dlrs of securities backed by credit card receivables via sole manager First Boston Dub said the offering sold out quickly  mostly to institutional investors     The Bank of America offering followed a January 16 issue of 200 mln dlrs of similar debt by RepublicBank Corps ltRPT RepublicBank Delaware unit Goldman  Sachs and Co ran the books on that deal  with First Boston acting as co-manager     However  Dub said the Bank of America securities were more closely related to the so-called cars deals that raced to market last year than were the RepublicBank securities     The RepublicBank issue was secured by credit card receivables In contrast  the Bank of America deal was the first public offering of credit card receivables because we used a grantor trust vehicle  he said     In a grantor trust  investors buy asset-backed certificates that represent a specified percentage of an undivided interest in the trust  analysts explained     The Bank of America certificates were issued by California Credit Card Trust A  which the bank established for that single purpose  investment bankers pointed out     The debt has an average life of 179 years and matures in 1992 First Boston gave the issue a 690 pct coupon and priced it at 998125 to yield 695 pct  or 65 basis points over comparable Treasury securities Non-callable for life  the deal was rated AAA by both Moodys and Standard and Poors     Underwriters away from the syndicate said they believed the Bank of America deal was priced too aggressively AAA-rated auto paper was trading about 75 basis points over Treasuries when First Boston priced the deal  one said     However  Dub said the offering sold out quickly anyway     The First Boston executive attributed this to the deals top-flight rating by both agencies  unlike many of last years cars deals  which were rated by S and P alone     Investors receive interest only payments for the first 18 months and then interest and principal payments for the remaining five to seven months  Dub detailed     Investment bankers pointed out that because the Bank of America deal did not pay principal for a year and a half  the issue had a longer average life than some of the cars deals that were brought to market late last year     The collateral for the trust includes a pool of VISA credit card receivables  backed by a letter of credit Bank of America has about four billion dlrs of credit card receivables  making it one of the biggest in the US  analysts said     Last weeks deal was Bank of Americas second foray into the young asset-backed securities market  analysts noted     In mid-December 1986 Bank of America sold  via California Cars Grantor Trust 1986-A  514 mln dlrs of certificates backed by automobile receivables through Salomon Brothers Inc     Upcoming asset-backed issues include 200 mln dlrs of notes backed by the car leases of Volvo 1986 Lease Finance Corp  a unit of Volvo Finance North America Inc  via First Boston  and 450 mln dlrs of notes secured by sales contracts of Mack Trucks Receivables Corp  a unit of Mack Trucks Inc ltMACK  via Shearson Lehmand Brothers Inc     The asset backed market  which began in March 1985  totals an estimated 119 billion dlrs  Reuter 3
Pos-earn,2 ltSDC SYDNEY DEVELOPMENT CORP NINE MTHS LOSS     VANCOUVER  British Columbia  March 2 -     Period ended December 31  1986     Oper shr loss 108 dlrs vs loss 84 cts     Oper loss 7 700 000 vs loss 1 700 000     Revs 11 800 000 vs 9 800 000     Note Current shr and net exclude extraordinary gain of 300 000 dlrs or five cts shr  versus extraordinary gain of 200 000 dlrs or four cts shr  Reuter 3
Neg-,2 OCCIDENTAL ltOXY UNIT TO REDEEM DEBENTURES     LOS ANGELES  March 2 - Occidental Petroleum Corp said its MidCon Corp subsidiary will redeem on March 31 all 269 000 dlrs of its outstanding 10-14 pct convertible subordinated debentures due 2009 at 10718 pct of par     It said interest payable March 31 will be paid in the usual manner to holders of record on March 15  The debentures convert to common stock at 14168319 dlrs per share  or 7058 shares per 1 000 dlrs principal amount  through March 31 Holders converting through March 17 will be entitled to receive Occidentals regular quarterly dividend of 62-12 cts per share on common stock that is payable April 15     The company said any holders surrendering debentures for conversion after March 15  other than those surrendering for conversion on March 31  will be required to pay to the conversion agent an amount equal to the interest paytable on the debentures on March 31  Reuter 3
Neg-,2 DOW ltDOW TO OFFER 130 MLN DLRS IN SWISS NOTES     MIDLAND  MICH  Mar 2 - Dow Chemical Co said it will issue 200 mln Swiss franc-denominated bonds worth about 130 mln dlrs US at current exchange rates     The 12-year bonds will carry a coupon of 4-34 pct and will be sold primarily to European investors for 10025 pct of face value  Dow said     Proceeds from the offering will be used to refinance existing debt  it said     Underwriters are led by Union Bank of Switzerland  The bonds will be listed on stock exchanges in Basle  Berne  Geneva  Lausanne and Zurich  Reuter 3
Pos-acq,2 PITTSTON AGREES TO ACQUIRE WTC INTERNATIONAL IN EXCHANGE OF STOCK Blah blah blah 3  
Pos-acq,2 MILLER TABAK HAS 918 PCT OF PENN TRAFFIC ltPNF     NEW YORK  March 2 - ltMiller Tabak Hirsch and Co said it has received an accepted 3 424 729 common shares of Penn Traffic Co in response to its 3160 dlr per share tender offer that expired Friday  and together with the 380 728 shares it already owned  it now has about 918 pct of Penn Traffic     The company said Penn Traffic is expected to hold a special shareholders meeting later this month to approve a merger into Miller Tabak at the tender price     It said two Miller Tabak representatives will be named to the Penn Traffic board on March Four to serve as the only directors with Penn Traffic president and chief executive officer Guido Malacarne     The company said it received financing for the transaction from First National Bank of Minneapolis and Salomon Inc ltSB  Reuter 3
Pos-earn,2 WASTE MANAGEMENT ltWMX VOTES SPLIT  UPS PAYOUT     OAK BROOK  ILL  Mar 2 - Waste Management Corp said its board voted a two-for-one stock split payable April 21  record March 30     In other action  Waste Management directors approved an increase in the quarterly dividend to 18 cts from 14 cts  payable April three  record March 18  Reuter 3
Pos-earn,2 MEDCO CONTAINMENT ltMCCS SETS INITIAL PAYOUT     ELMWOOD PARK  NJ  March 2 - Medco Containment Services Inc said its board declared an initial annual dividend of 10 cts per share  its first payout  payable March 19 to holders of record March 12  Reuter 3
Pos-earn,2 ltMULTI-STEP PRODUCTS INC SIX MTHS DEC 31 LOSS     TORONTO  March 2 -     Shr loss 11 cts     Loss 739 146     Revs 11 754 251     Note initial public listing December  1986  Reuter 3
Neg-,2 QUEBECS CAISSE DES JARDINS ISSUES YEN EUROBOND     LONDON  March 2 - Caisse Centrale Desjardins du Quebec is issuing a 10 billion yen step-up eurobond maturing on March 25  1992 and priced at 101-34 pct  joint-bookrunner Warburg Securities said     The issues pays a coupon of one pct in years one and two and then pays a coupon of 7-78 pct in years three  four and five The selling concession is 1-14 pct while management and underwriting combined pays 58 pct     The payment date is March 25 while the issue will be listed in Luxembourg The borrower is the wholesale financing arm of a major group of credit unions in the Province of Quebec  REUTER 3
